,videoId,channelId,videoTitle,videoDescription,imageUrl,channelTitle,liveBroadcastContent,videoPublishTime,order,query,videoId,videoViewCnt,videoLikeCnt,videoCommentCnt,videoDuration
44,nP0UdGVfhmQ,UCbNB-KMt52Vb7bpMgrr413Q,Tere Sang Yaara - Atif Aslam Song | Slowed And Reverb Lofi Mix,Thanks For Watching ❤️ .. Use Headphone For Better Experience.. #atifaslam #lofi #lofimix #slowedreverb #lofihiphop ...,https://i.ytimg.com/vi/nP0UdGVfhmQ/hqdefault.jpg,Indian Slowed And Reverb,none,2021-11-08 01:33:27+09:00,viewCount,LOFI,nP0UdGVfhmQ,21528506,163549,2194,5M41S
45,IWmmv7T-D7U,UC_3mGyIuAsgfP9TG9MIob9Q,Best Instagram Trending Lofi Songs | Slowed+Reverb | Lofi Mashup,Best Instagram Trending Lofi Songs | Slowed+Reverb | Lofi Mashup #bollywoodlofimix #mashupsong #bestmoodoffsong,https://i.ytimg.com/vi/IWmmv7T-D7U/hqdefault.jpg,Slow Waves,none,2023-06-04 01:00:08+09:00,viewCount,LOFI,IWmmv7T-D7U,16593244,151409,3597,23M48S
46,grBFMP3HDZA,UC84whx2xxsiA1gXHXXqKGOA,3-HOUR STUDY WITH ME🏡 / calm lofi / A Rainy Evening in Tokyo / with countdown+alarm,"The NO MUSIC version is here. https://youtu.be/cjIEzmgMNk0 Hey guys! I hope you are well, staying safe and healthy. Today we ...",https://i.ytimg.com/vi/grBFMP3HDZA/hqdefault.jpg,Abao in Tokyo,none,2021-08-26 20:00:12+09:00,viewCount,LOFI,grBFMP3HDZA,13253194,289968,6509,2H57M32S
47,ADp9P3p85w0,UCOa-zIys4wcrsGPMvvd6Syw,The Deli - 5:32PM,SUPPORT THE ARTIST: YouTube: https://www.youtube.com/user/xTheDeli BandCamp: http://thedeli.bandcamp.com/ ...,https://i.ytimg.com/vi/ADp9P3p85w0/hqdefault.jpg,Dreamwave,none,2016-04-06 02:31:42+09:00,viewCount,LoFi,ADp9P3p85w0,21146899,394379,9088,2M18S
48,Jjfw_Ca23Tk,UCDRnz_XU2EkBad3uyWHMcTA,"Tu Hi Haqeeqat Lo-fi [slow reverb] | Emraan Hashmi, Soha Ali Khan |",For Best experience Use headphones Subscribe our channel Lo-Fi & slow reverb song Turn on notification for latest update ...,https://i.ytimg.com/vi/Jjfw_Ca23Tk/hqdefault.jpg,(Slow + reverb),none,2023-03-25 13:37:01+09:00,viewCount,LoFi,Jjfw_Ca23Tk,17688639,133569,2713,5M33S
49,-3d1PB3SU3c,UC6tpyBt63bIKnnwfN78T0Pw,Maine Royaan | Lofi~Remix| Tanveer Evan.,Don't forget to use your headphones if you are listening to the lofi tracks. This song was released back in 2013. This was my first ...,https://i.ytimg.com/vi/-3d1PB3SU3c/hqdefault.jpg,Tanveer Evan.,none,2021-03-24 18:34:55+09:00,viewCount,lo-fi,-3d1PB3SU3c,152328537,2568668,91229,5M31S
50,oJnF5VxTO5g,UCZw7umGQbdLvX5R6uvbIK6A,C H I L L V I B E S | Chill &amp; aesthetic music playlist,Spotify Playlist https://open.spotify.com/playlist/02TCfxMQtyBw1dvCrbVaKX?si=vQorjXztTqS3HnuRwTkHLw Good Vibes cap on ...,https://i.ytimg.com/vi/oJnF5VxTO5g/hqdefault.jpg,EYM,none,2017-06-23 08:20:40+09:00,viewCount,lo-fi,oJnF5VxTO5g,78037018,1348956,31239,32M59S
51,LGmqw3yT0NE,UCECO8cpfN_7Rr4GDEqpZTEQ,Night 🌃 sad 💔songs for sleeping broken heart❤️‍🩹 | slowed + reverb mix | lofi hindi bollywood song,H E L L O ! WELCOME ON CHANNEL ! Fun2slofi ! Follow me on instagram http://instagram.com/jorwal_11/ business ...,https://i.ytimg.com/vi/LGmqw3yT0NE/hqdefault.jpg,Fun2s LoFi,none,2023-01-27 20:30:07+09:00,viewCount,lo-fi,LGmqw3yT0NE,75241968,967631,39137,18M13S
52,ISNBfryBkSo,UC7tdoGx0eQfRJm9Qj6GCs0A,i will be waiting ~ lofi hiphop mix feat. shiloh,shiloh dynasty infused beat tape! chilled lofi mix for cozy evenings nourish. spotify playlist https://spoti.fi/34jt7n6 on soundcloud ...,https://i.ytimg.com/vi/ISNBfryBkSo/hqdefault.jpg,nourish.,none,2017-09-25 09:04:55+09:00,viewCount,lo-fi,ISNBfryBkSo,48602160,830574,16417,10M1S
53,riVOHkYvzjI,UCh7aocZezr9gnY0uh0uONVA,People X Nainowale Ne (Mashup) - Full Version | Neeti Mohan &amp; Libianca | Lo-fi 2307 | Insta Viral,We are presenting you PEOPLE X NAINO VALE NE (MASHUP) - Full Version | Neeti Mohan & Libianca | Lo-fi 2307 | Insta Viral ...,https://i.ytimg.com/vi/riVOHkYvzjI/hqdefault.jpg,Lo-fi 2307 Official,none,2023-04-17 00:30:22+09:00,viewCount,lo-fi,riVOHkYvzjI,48608486,418701,2063,3M7S
